SESSION_CODE,USER_CODE,CONTENT_CODE,TIME,WATCHED_DURATION,PLATFORM,DEVICE_TYPE,OS_FAMILY,OS_NAME,APP_VERSION,IS_UP_TO_DATE
SESSION_00000001,USER_00000000870,CONTENT_00000967,2024-11-28 15:45:21,110,Mobile,Desktop,Nintendo,Android 13,v2.0.1,1
SESSION_00000002,USER_00000000436,CONTENT_00000148,2024-02-12 14:07:08,55,Mobile,Laptop,Windows,Windows 11,v2.0.1,1
SESSION_00000003,USER_00000000847,CONTENT_00000344,2024-01-16 13:13:34,166,Tablet,Smartphone,Xbox,Ubuntu 22.04,v2.0.1,1
SESSION_00000004,USER_00000000849,CONTENT_00000084,2024-03-05 16:07:01,103,Tablet,Game Console,FireOS,iPadOS 15,v1.0.0,1
SESSION_00000005,USER_00000000315,CONTENT_00000233,2023-07-28 05:06:31,14,Tablet,Game Console,Nintendo,macOS Ventura,v2.0.1,1
SESSION_00000006,USER_00000000020,CONTENT_00000989,2025-02-17 01:32:57,53,Console,Smartphone,Linux,Switch,v1.0.0,1
SESSION_00000007,USER_00000000761,CONTENT_00000685,2024-09-28 08:56:00,174,TV,Laptop,Linux,Windows 11,v3.0.5,1
SESSION_00000008,USER_00000000224,CONTENT_00000263,2025-05-07 03:55:44,52,Console,Tablet,iOS,PS5,v1.0.0,1
SESSION_00000009,USER_00000000021,CONTENT_00000018,2024-09-10 07:14:06,105,Console,Smart TV,macOS,Windows 11,v3.0.5,1
SESSION_00000010,USER_00000000995,CONTENT_00000909,2023-10-30 07:09:23,156,TV,Smart TV,Linux,Switch,v1.2.3,1
SESSION_00000011,USER_00000000363,CONTENT_00000457,2023-11-11 06:59:12,109,Mobile,Laptop,Xbox,PS5,v1.0.0,1
SESSION_00000012,USER_00000000372,CONTENT_00000877,2023-07-03 07:23:27,170,Console,Desktop,Playstation,Android 13,v1.2.3,1
SESSION_00000013,USER_00000000007,CONTENT_00000665,2024-09-25 14:43:09,25,Computer,Tablet,Nintendo,iPadOS 15,v1.0.0,1
SESSION_00000014,USER_00000000462,CONTENT_00000594,2023-12-27 11:05:15,90,TV,Tablet,FireOS,iOS 16,v2.0.1,1
SESSION_00000015,USER_00000000835,CONTENT_00000076,2024-02-07 23:16:47,166,Tablet,Game Console,Android,Windows 11,v1.0.0,1
SESSION_00000016,USER_00000000006,CONTENT_00000690,2023-06-09 09:39:05,101,TV,Smartphone,Xbox,iOS 16,v2.1.0,1
SESSION_00000017,USER_00000000506,CONTENT_00000658,2024-08-22 10:30:34,151,Console,Desktop,tvOS,Xbox,v2.0.1,1
SESSION_00000018,USER_00000000454,CONTENT_00000228,2025-03-09 10:24:46,172,Computer,Smartphone,iOS,FireOS 6,v1.0.0,1
SESSION_00000019,USER_00000000735,CONTENT_00000067,2024-04-02 08:34:37,19,Console,Laptop,macOS,Switch,v2.1.0,1
SESSION_00000020,USER_00000000249,CONTENT_00000404,2023-10-23 08:05:06,154,Tablet,Laptop,iOS,Xbox,v2.0.1,1
SESSION_00000021,USER_00000000679,CONTENT_00000199,2025-04-16 16:15:11,149,TV,Tablet,Android,iOS 16,v1.2.3,1
SESSION_00000022,USER_00000000393,CONTENT_00000593,2025-03-12 03:03:07,27,Tablet,Smart TV,iOS,Android 13,v1.0.0,1
