content_code,type_id,age_restriction_id,director_id,title,release_date,duration,is_up_to_date
CONTENT_00001001,2,3,22,"Minecraft, o fime 2.",2024-02-03,180,0
CONTENT_00000004,2,4,429,Last size.,2023-05-18,180,1
CONTENT_00000275,1,1,562,My.,2017-03-20,180,1
CONTENT_00000001,3,2,6,Updated Title 2,2024-02-04,180,0
CONTENT_00000002,5,3,6,Include role race.,2024-03-05,181,0
CONTENT_00000003,2,1,592,Debate next whole.,2022-07-20,180,1
CONTENT_00000005,3,1,613,Decide account hair.,2023-11-12,180,1
CONTENT_00000006,4,4,927,Conference according group.,2022-04-24,180,1
CONTENT_00000008,1,1,625,High late.,2021-07-16,180,1
CONTENT_00000007,5,4,368,Game station all.,2025-03-24,180,1
CONTENT_00000009,2,4,905,Off discover.,2020-07-26,180,1
CONTENT_00000010,5,1,962,Mrs prove level.,2023-10-16,180,1
CONTENT_00000011,2,3,91,Look speech.,2022-01-17,180,1
CONTENT_00000012,2,1,643,Raise which.,2021-04-06,180,1
CONTENT_00000013,5,4,625,Join occur how region.,2019-04-23,180,1
CONTENT_00000014,4,3,302,Investment base spend nearly.,2019-02-23,180,1
CONTENT_00000015,1,3,919,Design peace forget never.,2021-02-27,180,1
CONTENT_00000016,3,2,766,Meeting light.,2019-02-12,180,1
CONTENT_00000017,2,3,548,Fight and everything act.,2022-01-05,180,1
CONTENT_00000018,5,2,349,Word often.,2023-03-29,180,1
CONTENT_00000019,1,2,628,Figure model business.,2018-12-15,180,1
CONTENT_00000020,5,1,621,Court argue include.,2024-11-17,180,1
CONTENT_00000021,3,4,806,Store health board.,2024-05-05,180,1
CONTENT_00000022,4,1,406,Front house.,2018-04-07,180,1
CONTENT_00000023,3,2,415,Law level.,2020-04-24,180,1
CONTENT_00000024,1,3,26,Chance phone hit.,2016-11-21,180,1
CONTENT_00000025,3,3,170,Cover enter.,2021-02-07,180,1
CONTENT_00000026,4,3,28,Point difference blood.,2015-06-23,180,1
CONTENT_00000027,1,2,205,Many hear.,2022-02-13,180,1
CONTENT_00000028,5,3,14,Health yeah.,2018-08-19,180,1
CONTENT_00000029,1,2,445,Bed whether.,2020-04-16,180,1
CONTENT_00000030,3,2,960,Phone short that.,2024-03-21,180,1
CONTENT_00000031,2,3,124,Side necessary.,2019-01-16,180,1
CONTENT_00000032,2,1,407,Raise despite.,2020-06-10,180,1
CONTENT_00000033,5,4,99,Guy article drive gas.,2017-10-30,180,1
CONTENT_00000034,5,4,864,Once tend leave.,2020-06-22,180,1
CONTENT_00000035,1,3,753,Wide theory.,2025-01-27,180,1
CONTENT_00000036,4,4,436,Age half line.,2018-12-30,180,1
CONTENT_00000037,4,1,226,A order.,2022-06-06,180,1
CONTENT_00000038,2,3,65,Beautiful oil.,2019-09-10,180,1
CONTENT_00000039,2,2,798,Hold tree.,2017-12-26,180,1
CONTENT_00000040,4,3,205,Newspaper computer physical.,2025-05-03,180,1
CONTENT_00000041,4,2,859,South operation agency.,2018-04-13,180,1
CONTENT_00000042,2,2,735,Whom daughter.,2021-01-28,180,1
CONTENT_00000043,4,4,1000,Bag finally.,2020-01-11,180,1
CONTENT_00000044,5,4,408,Nice help company.,2024-03-15,180,1
CONTENT_00000045,5,4,343,Board lay.,2020-05-25,180,1
CONTENT_00000046,3,4,689,Thus audience detail.,2018-06-18,180,1
CONTENT_00000047,5,2,779,Rock.,2020-07-14,180,1
CONTENT_00000048,3,4,453,Rest still quite.,2020-10-13,180,1
CONTENT_00000049,1,2,191,Challenge eye.,2021-08-05,180,1
CONTENT_00000050,1,2,608,Better product.,2023-03-06,180,1
CONTENT_00000051,1,4,740,Final point.,2017-05-03,180,1
CONTENT_00000052,4,3,531,Enjoy statement.,2020-03-10,180,1
CONTENT_00000053,5,2,155,Woman focus.,2024-05-12,180,1
CONTENT_00000054,3,1,606,Them toward under.,2019-02-10,180,1
CONTENT_00000055,5,4,289,Black herself with.,2016-04-23,180,1
CONTENT_00000056,5,1,420,Girl there.,2018-07-20,180,1
CONTENT_00000057,1,2,561,Unit house stay.,2017-10-30,180,1
CONTENT_00000058,1,4,71,Civil especially.,2018-08-25,180,1
CONTENT_00000059,4,3,920,Project hard side.,2022-09-20,180,1
CONTENT_00000060,3,4,708,Truth.,2020-07-20,180,1
CONTENT_00000061,5,3,412,List across final.,2015-12-25,180,1
CONTENT_00000062,2,1,722,Change we.,2015-12-22,180,1
CONTENT_00000063,5,3,25,Hotel candidate contain.,2017-04-05,180,1
CONTENT_00000064,4,2,284,Outside.,2018-09-26,180,1
CONTENT_00000065,4,2,798,Hot.,2023-08-15,180,1
CONTENT_00000066,2,2,791,Road year.,2023-09-09,180,1
CONTENT_00000067,1,2,574,Suggest whole use.,2017-12-12,180,1
CONTENT_00000068,5,4,281,Receive travel.,2020-01-27,180,1
CONTENT_00000069,2,3,340,Stay heart.,2017-01-25,180,1
CONTENT_00000070,1,3,852,Real take.,2023-08-12,180,1
CONTENT_00000071,3,3,858,Ready control national could.,2017-08-31,180,1
CONTENT_00000072,3,4,630,But music his.,2024-04-29,180,1
CONTENT_00000073,1,2,418,Bad industry season.,2023-05-28,180,1
CONTENT_00000074,5,4,633,Environment.,2025-03-04,180,1
CONTENT_00000075,2,2,166,Yes institution.,2023-03-27,180,1
CONTENT_00000076,3,4,148,Program work wife.,2024-02-19,180,1
CONTENT_00000077,2,4,453,Water painting floor.,2021-10-28,180,1
CONTENT_00000078,2,3,230,Song control because.,2024-12-21,180,1
CONTENT_00000079,2,3,101,Church.,2018-12-11,180,1
CONTENT_00000080,5,2,857,Stop most store.,2020-10-11,180,1
