session_code,user_code,content_code,time_,watched_duration,platform,device_type,os_family,os_name,app_version,is_up_to_date
SESSION_00001001,USER_00000000001,CONTENT_00000022,2024-05-20 14:30:00,120,TV,Smart TV,tvOS,tvOS 14,version 2.1.0,0
SESSION_00000452,USER_00000000915,CONTENT_00000117,2024-07-09 14:10:29,29,TV,Laptop,tvOS,iPadOS 15,version 1.2.3,1
SESSION_00000671,USER_00000000779,CONTENT_00000345,2024-12-30 11:43:31,46,Console,Laptop,Android,PS5,version 2.0.1,1
SESSION_00000897,USER_00000000688,CONTENT_00000993,2023-06-24 00:51:53,35,TV,Smart TV,Playstation,PS5,version 2.1.0,1
SESSION_00000948,USER_00000000026,CONTENT_00000200,2023-10-03 19:08:58,38,Console,Smartphone,tvOS,Switch,version 1.0.0,1
SESSION_00000949,USER_00000000810,CONTENT_00000863,2023-10-28 00:56:45,141,Console,Smartphone,Playstation,PS5,version 1.0.0,1
SESSION_00000664,USER_00000000400,CONTENT_00000405,2024-05-18 14:02:11,131,TV,Smart TV,FireOS,iOS 16,version 3.0.5,1
SESSION_00000002,USER_00000000001,CONTENT_00000022,2024-05-21 10:00:00,95,Computer,Laptop,Windows,iOS 16,version 2.1.0,0
SESSION_00000001,USER_00000000170,CONTENT_00000339,2024-09-15 01:29:23,118,Computer,Desktop,iOS,iOS 16,version 3.0.5,1
SESSION_00000003,USER_00000000879,CONTENT_00000144,2024-05-23 03:03:34,89,Console,Smartphone,tvOS,FireOS 6,version 1.2.3,1
SESSION_00000004,USER_00000000732,CONTENT_00000442,2024-02-02 14:12:44,90,TV,Smart TV,Windows,Ubuntu 22.04,version 3.0.5,1
SESSION_00000005,USER_00000000943,CONTENT_00000600,2024-01-22 03:55:35,147,Tablet,Game Console,Nintendo,FireOS 6,version 2.1.0,1
SESSION_00000006,USER_00000000628,CONTENT_00000885,2024-04-20 02:55:49,120,Tablet,Game Console,Playstation,PS5,version 2.1.0,1
SESSION_00000007,USER_00000000983,CONTENT_00000804,2024-04-21 14:16:12,154,Console,Tablet,FireOS,Windows 11,version 2.1.0,1
SESSION_00000008,USER_00000000659,CONTENT_00000179,2023-12-24 14:03:11,61,Console,Game Console,FireOS,Ubuntu 22.04,version 3.0.5,1
SESSION_00000009,USER_00000000192,CONTENT_00000371,2024-01-13 11:59:34,136,Computer,Tablet,iOS,FireOS 6,version 1.2.3,1
SESSION_00000010,USER_00000000267,CONTENT_00000940,2023-10-14 19:08:32,77,Tablet,Smartphone,Android,Switch,version 2.1.0,1
SESSION_00000011,USER_00000000891,CONTENT_00000110,2025-01-22 18:17:46,103,Console,Desktop,tvOS,tvOS 14,version 3.0.5,1
SESSION_00000012,USER_00000000233,CONTENT_00000922,2024-09-09 18:14:29,94,TV,Smartphone,Linux,tvOS 14,version 1.2.3,1
SESSION_00000013,USER_00000000142,CONTENT_00000294,2023-12-30 18:24:47,168,Computer,Smartphone,Android,Switch,version 3.0.5,1
SESSION_00000014,USER_00000000093,CONTENT_00000411,2025-03-16 03:30:37,64,Mobile,Desktop,iOS,Ubuntu 22.04,version 3.0.5,1
SESSION_00000015,USER_00000000977,CONTENT_00000960,2024-05-02 04:31:31,136,TV,Smart TV,tvOS,FireOS 6,version 3.0.5,1
SESSION_00000016,USER_00000000006,CONTENT_00000523,2024-07-15 21:23:51,120,Tablet,Game Console,Android,tvOS 14,version 1.2.3,1
SESSION_00000017,USER_00000000352,CONTENT_00000605,2024-03-23 07:02:26,157,Console,Game Console,Playstation,Android 13,version 2.0.1,1
SESSION_00000018,USER_00000000697,CONTENT_00000284,2024-02-12 13:09:48,70,Mobile,Smartphone,FireOS,Android 13,version 3.0.5,1
SESSION_00000019,USER_00000000769,CONTENT_00000099,2023-10-20 10:04:54,62,Mobile,Smart TV,tvOS,macOS Ventura,version 1.0.0,1
SESSION_00000020,USER_00000000777,CONTENT_00000316,2024-06-25 13:40:42,169,Tablet,Game Console,Windows,Switch,version 1.0.0,1
SESSION_00000021,USER_00000000745,CONTENT_00000013,2023-11-24 02:22:56,43,Mobile,Laptop,Nintendo,Switch,version 2.0.1,1
SESSION_00000022,USER_00000000297,CONTENT_00000154,2023-12-15 23:45:29,175,TV,Game Console,Android,Switch,version 1.0.0,1
SESSION_00000023,USER_00000000690,CONTENT_00000566,2024-12-14 05:55:30,175,Tablet,Desktop,Xbox,Switch,version 3.0.5,1
SESSION_00000024,USER_00000000641,CONTENT_00000798,2024-10-31 07:06:20,11,Tablet,Smartphone,FireOS,Xbox,version 3.0.5,1
SESSION_00000025,USER_00000000761,CONTENT_00000554,2024-02-14 09:11:00,142,Computer,Smartphone,macOS,Android 13,version 1.0.0,1
SESSION_00000026,USER_00000000630,CONTENT_00000130,2025-05-17 22:32:39,128,Console,Desktop,Playstation,FireOS 6,version 3.0.5,1
SESSION_00000027,USER_00000000922,CONTENT_00000783,2023-12-13 21:05:18,147,TV,Game Console,Android,Windows 11,version 1.2.3,1
SESSION_00000028,USER_00000000757,CONTENT_00000149,2024-07-28 07:54:09,72,Mobile,Laptop,Xbox,iPadOS 15,version 2.0.1,1
SESSION_00000029,USER_00000000798,CONTENT_00000710,2025-01-13 04:00:42,58,Mobile,Smart TV,macOS,iOS 16,version 2.1.0,1
SESSION_00000030,USER_00000000801,CONTENT_00000295,2025-01-10 09:22:13,87,Console,Desktop,tvOS,Ubuntu 22.04,version 2.1.0,1
SESSION_00000031,USER_00000000946,CONTENT_00000650,2024-10-17 13:54:45,103,TV,Laptop,Linux,Ubuntu 22.04,version 3.0.5,1
SESSION_00000032,USER_00000000257,CONTENT_00000924,2024-10-04 12:48:06,135,Tablet,Desktop,Android,Android 13,version 1.0.0,1
SESSION_00000033,USER_00000000575,CONTENT_00000120,2025-04-22 18:14:36,45,Tablet,Desktop,Playstation,Windows 11,version 1.0.0,1
SESSION_00000034,USER_00000000158,CONTENT_00000331,2024-12-18 08:27:27,161,Console,Smartphone,FireOS,iPadOS 15,version 1.2.3,1
SESSION_00000035,USER_00000000668,CONTENT_00000357,2023-09-12 19:15:03,150,Computer,Laptop,Xbox,PS5,version 1.0.0,1
SESSION_00000036,USER_00000000167,CONTENT_00000826,2024-12-28 17:34:56,171,TV,Laptop,Playstation,PS5,version 3.0.5,1
SESSION_00000037,USER_00000000911,CONTENT_00000903,2024-08-25 00:34:32,134,Computer,Smartphone,Nintendo,PS5,version 1.0.0,1
SESSION_00000038,USER_00000000722,CONTENT_00000573,2024-03-20 19:56:02,51,TV,Tablet,Xbox,iPadOS 15,version 2.0.1,1
SESSION_00000039,USER_00000000490,CONTENT_00000530,2024-08-27 05:21:27,135,Console,Desktop,FireOS,Android 13,version 1.0.0,1
SESSION_00000040,USER_00000000539,CONTENT_00000888,2023-07-28 21:49:42,32,Console,Tablet,Android,Ubuntu 22.04,version 1.0.0,1
SESSION_00000041,USER_00000000620,CONTENT_00000825,2024-08-20 23:22:07,136,Mobile,Game Console,Xbox,PS5,version 1.0.0,1
SESSION_00000042,USER_00000000863,CONTENT_00000253,2024-10-11 09:36:20,129,TV,Laptop,Playstation,macOS Ventura,version 1.2.3,1
SESSION_00000043,USER_00000000519,CONTENT_00000677,2024-10-02 05:34:06,27,Tablet,Game Console,Windows,tvOS 14,version 2.1.0,1
SESSION_00000044,USER_00000000683,CONTENT_00000837,2025-05-30 02:41:34,88,Mobile,Tablet,macOS,Windows 11,version 3.0.5,1
SESSION_00000045,USER_00000000030,CONTENT_00000015,2024-12-22 06:48:44,71,Computer,Smart TV,FireOS,tvOS 14,version 2.1.0,1
SESSION_00000046,USER_00000000875,CONTENT_00000537,2024-01-18 03:35:50,175,TV,Game Console,Linux,FireOS 6,version 1.0.0,1
SESSION_00000047,USER_00000000275,CONTENT_00000444,2025-01-03 07:06:32,158,Mobile,Tablet,FireOS,iPadOS 15,version 1.0.0,1
SESSION_00000048,USER_00000000606,CONTENT_00000692,2025-05-26 15:55:12,143,Mobile,Game Console,tvOS,FireOS 6,version 3.0.5,1
SESSION_00000049,USER_00000000444,CONTENT_00000906,2025-03-27 18:16:41,154,Mobile,Smartphone,FireOS,tvOS 14,version 1.2.3,1
SESSION_00000050,USER_00000000236,CONTENT_00000623,2024-07-27 00:05:05,179,Console,Game Console,macOS,PS5,version 2.0.1,1
SESSION_00000051,USER_00000000723,CONTENT_00000257,2023-07-12 23:04:23,21,Computer,Smartphone,Nintendo,Android 13,version 1.0.0,1
SESSION_00000052,USER_00000000425,CONTENT_00000065,2024-11-01 23:58:55,75,Mobile,Game Console,macOS,Xbox,version 1.2.3,1
SESSION_00000053,USER_00000000481,CONTENT_00000918,2024-01-29 09:53:26,38,TV,Laptop,Xbox,Windows 11,version 2.1.0,1
