CONTENT_ID,TYPE_ID,AGE_RATING_ID,DIRECTOR_ID,TITLE,RELEASE_DATE,DURATION
1,1,5,55,Environment far.,2017-10-09,76
2,1,1,68,Appear environment participant.,2016-11-06,139
3,3,2,87,Fly accept front herself.,2018-02-12,178
4,5,5,9,Certainly phone seek I.,2021-07-02,137
5,5,3,29,Marriage help too.,2016-09-26,172
6,1,1,20,Candidate indeed their theory.,2021-07-30,100
7,1,1,24,Always sit indeed million.,2018-03-28,85
8,3,2,88,Upon section.,2023-05-01,128
9,5,1,78,Whole policy.,2015-07-06,102
10,2,2,79,Professor point budget total.,2022-10-15,63
11,2,5,63,Each under growth cut personal.,2021-06-01,156
12,4,3,34,Thus system forward occur knowledge.,2015-06-22,87
13,5,5,39,Which position firm short carry.,2025-03-21,138
14,5,3,50,Wrong alone act.,2023-03-10,109
15,3,5,75,Herself able court.,2022-02-23,63
16,2,2,86,Difficult organization hit attorney billion.,2018-09-11,82
17,2,1,89,Us responsibility expert.,2020-01-17,95
18,2,3,44,Ago pretty white particularly.,2020-10-14,85
19,2,3,80,Actually piece to adult.,2017-06-09,93
20,4,2,7,Doctor choice forget admit.,2018-07-11,120
21,5,1,96,Arrive ago where child.,2022-06-20,72
22,5,1,53,Teacher provide police.,2024-03-16,122
23,1,4,37,Late style worker.,2022-10-12,163
24,1,2,62,Goal language.,2024-07-28,66
25,5,4,46,Think dinner subject give.,2020-04-27,92
26,4,3,96,Ok town suddenly.,2016-05-23,72
27,1,3,61,Along either describe.,2018-03-20,71
28,1,4,19,Stop reason save our collection.,2021-11-07,159
29,5,5,24,Word along blue.,2015-05-10,162
30,5,1,46,Option including middle clearly avoid.,2017-08-10,77
31,2,1,49,American far experience.,2023-07-30,155
32,1,3,23,Performance wall machine much.,2016-02-27,75
33,2,5,17,Region agree well.,2021-10-03,123
34,2,2,2,Hot remain despite rise mention.,2019-11-24,93
35,5,5,9,Meet fast letter.,2021-05-31,110
36,3,4,41,None care it defense.,2025-01-05,82
37,2,3,6,Behavior federal in join mean.,2024-03-08,174
38,2,1,66,End bed loss threat statement.,2017-12-08,102
39,1,5,10,Piece we.,2017-02-15,126
40,4,5,53,Build daughter dream investment.,2022-07-18,108
41,3,2,13,Himself picture.,2020-01-28,135
42,1,4,93,Century indicate chair policy.,2020-08-17,69
43,3,3,26,Dream teach onto.,2018-02-24,141
44,5,2,31,Loss simple picture member experience.,2022-10-23,90
45,2,3,75,Question thought care wonder.,2015-08-29,164
46,4,1,69,Claim firm trouble dinner game.,2020-07-17,96
47,5,1,42,Social cultural serve computer.,2021-06-13,162
48,5,5,78,Understand general despite.,2023-11-22,171
49,4,2,29,Agree involve marriage.,2019-10-12,105
50,3,2,5,Provide performance too everybody.,2017-05-06,98
51,5,4,80,Property receive.,2018-10-08,111
52,1,3,53,Floor member peace collection past.,2017-07-26,66
53,5,3,69,Whole them bed.,2024-02-11,164
54,2,1,73,Resource agent here.,2021-06-26,60
55,2,5,21,Contain subject mother.,2024-07-03,109
56,3,5,20,Truth take rich close.,2024-03-10,148
57,2,5,81,Moment look enter.,2018-10-20,95
58,1,4,34,Ok respond southern.,2023-08-08,135
59,4,2,16,War down husband owner.,2020-07-14,178
60,1,3,61,Why moment over understand.,2022-04-19,129
61,4,5,78,Speech place sure.,2016-08-10,69
62,4,2,5,Seat source claim design.,2018-11-02,87
63,4,4,49,Center entire stay.,2021-09-15,132
64,5,3,92,Truth window party.,2022-05-01,87
65,3,4,92,Professor trade.,2016-02-13,125
66,5,3,78,Him this community country.,2018-03-19,81
67,2,5,85,Stock television green.,2024-12-28,178
68,3,3,18,Enjoy management.,2024-09-08,144
69,3,5,40,Road front dog worker doctor.,2020-07-31,180
70,3,2,65,Else like war remember.,2015-09-29,155
71,1,4,3,Nice store cold.,2016-02-06,167
72,5,5,66,Little late.,2015-10-14,74
73,2,1,17,Material occur care me school.,2023-10-18,144
74,4,4,61,Impact coach present.,2024-04-14,148
75,4,5,74,Push want improve.,2024-12-04,111
76,2,5,59,Onto food this.,2023-12-31,81
77,5,1,16,None commercial need.,2022-09-12,156
78,4,4,50,Mind hundred simply.,2017-07-29,115
79,5,5,40,Last audience.,2024-03-24,99
80,5,5,18,Reason when appear alone.,2017-10-13,73
81,1,3,41,Teach end class new.,2021-09-08,178
82,1,3,100,Owner cut response special.,2020-09-06,107
83,3,1,64,Improve record nearly building.,2024-08-11,149
84,1,4,97,Air brother career start place.,2023-08-30,72
85,3,1,73,Meeting write sing.,2017-12-20,125
86,2,4,17,Religious worry significant capital.,2024-07-09,137
87,4,1,53,Once worker.,2020-09-25,124
88,5,1,57,Best car.,2018-10-10,157
89,3,3,95,Happen hundred society.,2017-01-09,127
90,3,1,32,World blue ground around girl.,2020-10-18,143
91,5,5,25,Ask within strong.,2023-10-17,123
92,4,2,71,Reason either political owner.,2017-04-23,135
93,5,5,47,Card room door father.,2019-03-26,109
94,3,3,9,Without situation rate style.,2022-03-12,106
95,5,3,94,That thus staff.,2022-07-12,79
96,4,5,69,Score start prepare network.,2018-06-15,79
97,4,2,40,Beautiful few entire.,2016-11-11,104
98,3,3,16,Financial race beyond.,2018-02-28,98
99,1,3,25,Probably cultural nothing majority.,2020-05-22,136
100,3,5,24,Easy hotel scene occur significant.,2020-04-11,82
